"content_id","slug","title","primary_intent","cluster","funnel_stage","pillar_id","planned_week","planned_day"
"1","what-is-personal-media-player","What Is a Personal Media Player? A Clear Guide for Beginners","personal media player","Media Player Fundamentals","Awareness","1","1","Tuesday"
"2","media-player-vs-content-provider","Media Player vs. Content Provider: What’s the Difference?","media player vs content provider","Media Player Fundamentals","Awareness","1","5","Tuesday"
"3","unified-media-library-benefits","How a Unified Media Library Simplifies Everyday Viewing","unified media library","Media Player Fundamentals","Awareness","1","9","Tuesday"
"4","signs-media-collection-needs-organization","Seven Signs Your Digital Media Collection Needs Better Organization","organize digital media collection","Media Player Fundamentals","Awareness","1","13","Tuesday"
"5","tv-guide-data-explained","TV Guide Data Explained: What It Does and Why It Matters","TV guide data","Media Player Fundamentals","Awareness","1","17","Tuesday"
"6","media-metadata-explained","Media Metadata Explained: Titles, Posters, Genres, Years, and Ratings","media metadata","Media Player Fundamentals","Awareness","1","21","Tuesday"
"7","watch-history-playback-progress-benefits","Why Watch History and Playback Progress Save Time","playback progress tracking","Media Player Fundamentals","Awareness","1","25","Tuesday"
"8","favorites-watchlists-continue-watching","Favorites, Watchlists, and Continue Watching: How They Differ","favorites vs continue watching","Media Player Fundamentals","Awareness","1","29","Tuesday"
"9","media-library-categories","How Categories Turn a Large Media Collection Into a Usable Library","media library categories","Media Player Fundamentals","Awareness","1","33","Tuesday"
"10","authorized-media-access-explained","What “Use Only Media You’re Authorized to Access” Means in Practice","authorized media access","Media Player Fundamentals","Consideration","1","37","Tuesday"
"11","media-organizer-checklist","How to Choose a Media Organizer: A 12-Point Checklist","media organizer checklist","Media Player Fundamentals","Consideration","1","41","Tuesday"
"12","tv-interface-vs-phone-interface","Why TV Interfaces Need Different Design From Phone Apps","TV app interface design","Media Player Fundamentals","Awareness","1","45","Tuesday"
"13","cross-device-media-player-explained","One Account, Multiple Screens: How Cross-Device Media Players Work","cross-device media player","Media Player Fundamentals","Awareness","1","48","Thursday"
"14","norva-getting-started","Getting Started With Norva: Your First 10 Minutes","Norva setup guide","Norva Setup & Account","Retention","14","1","Thursday"
